"BehaviorSpace results (NetLogo 6.2.0)"
"Simple Birth Rates.nlogo"
"Blue_fertility_effect_on_red_extinction"
"05/01/2021 07:42:01:488 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"737","1000","2","2.8","30","30"
"735","1000","2","2.8","38","38"
"733","1000","2","2.8","41","41"
"740","1000","2","2.8","26","26"
"742","1000","2","2.8","27","27"
"741","1000","2","2.8","30","30"
"739","1000","2","2.8","36","36"
"746","1000","2","2.8","24","24"
"745","1000","2","2.8","26","26"
"743","1000","2","2.8","32","32"
"744","1000","2","2.8","40","40"
"751","1000","2","2.8","22","22"
"749","1000","2","2.8","25","25"
"750","1000","2","2.8","27","27"
"747","1000","2","2.8","39","39"
"752","1000","2","2.8","28","28"
"748","1000","2","2.8","38","38"
"753","1000","2","2.8","31","31"
"755","1000","2","2.8","23","23"
"754","1000","2","2.8","32","32"
"758","1000","2","2.8","20","20"
"757","1000","2","2.8","23","23"
"759","1000","2","2.8","22","22"
"756","1000","2","2.8","28","28"
"761","1000","2","2.8","27","27"
"760","1000","2","2.8","36","36"
"763","1000","2","2.8","19","19"
"765","1000","2","2.8","25","25"
"762","1000","2","2.8","28","28"
"764","1000","2","2.8","30","30"
"766","1000","2","2.8","35","35"
"770","1000","2","2.8","22","22"
"771","1000","2","2.8","23","23"
"772","1000","2","2.8","24","24"
"769","1000","2","2.8","29","29"
"767","1000","2","2.8","39","39"
"768","1000","2","2.8","38","38"
"773","1000","2","2.8","27","27"
"774","1000","2","2.8","28","28"
"775","1000","2","2.8","28","28"
"776","1000","2","2.8","25","25"
"780","1000","2","2.8","28","28"
"778","1000","2","2.8","32","32"
"779","1000","2","2.8","30","30"
"777","1000","2","2.8","33","33"
"781","1000","2","2.8","36","36"
"783","1000","2","2.8","23","23"
"782","1000","2","2.8","30","30"
"784","1000","2","2.8","28","28"
"786","1000","2","2.8","26","26"
"787","1000","2","2.8","25","25"
"785","1000","2","2.8","29","29"
"788","1000","2","2.8","29","29"
"791","1000","2","2.8","20","20"
"789","1000","2","2.8","27","27"
"790","1000","2","2.8","32","32"
"793","1000","2","2.8","21","21"
"792","1000","2","2.8","33","33"
"797","1000","2","2.8","20","20"
"794","1000","2","2.8","28","28"
