"BehaviorSpace results (NetLogo 6.2.0)"
"business-investor-model-senseRange.nlogo"
"experiment"
"06/19/2021 09:16:33:852 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","sensing-radius","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","ticks"
"3","0","28","78163.78440000002","90253.37483654542","28"
"6","0","30","87270.25479999998","112194.89519721428","30"
"8","0","23","45128.9992","43723.734798594414","23"
"4","0","29","69628.6528","106235.00626531153","29"
"7","0","30","78592.38520000002","67899.64990445471","30"
"1","0","16","43091.94760000001","45176.36789694837","16"
"5","0","25","101650.55720000001","124832.64602608651","25"
"6","0","31","88129.05040000001","118231.41384986561","31"
"3","0","29","77789.54400000001","95301.17751355637","29"
"8","0","24","49012.9564","45295.838708436364","24"
"4","0","30","68268.1988","111009.52674858985","30"
"7","0","31","81903.65519999998","71232.19318661846","31"
"5","0","26","105917.31999999998","131481.3172298435","26"
"1","0","17","44363.24680000001","48291.715566220286","17"
"6","0","32","95063.81720000002","121866.47399458055","32"
"8","0","25","53371.153600000005","46636.76250803784","25"
"3","0","30","68974.37800000001","101657.4054932682","30"
"7","0","32","72637.248","64325.62444210738","32"
"4","0","31","71510.13","115310.83932462374","31"
"5","0","27","94489.62759999999","124820.68574921778","27"
"1","0","18","44854.135200000004","50664.780022230785","18"
"8","0","26","57846.0548","48005.96779422292","26"
"4","0","32","71580.81600000002","120237.71732132637","32"
"3","0","31","74217.5652","105354.72988610553","31"
"7","0","33","76006.4252","67177.299231086","33"
"6","0","33","95817.3632","128814.71566768465","33"
"5","0","28","95352.95479999999","131222.90779824674","28"
"1","0","19","48894.44840000002","53098.18703536197","19"
"3","0","32","65993.36840000002","96164.96660780301","32"
"7","0","34","79910.35839999998","69838.86263712184","34"
"4","0","33","56646.82520000001","87223.0213331641","33"
"8","0","27","62320.956","49518.559490474545","27"
"6","0","34","86438.60040000001","131896.81848473463","34"
"5","0","29","101016.37800000001","136123.56708233905","29"
"1","0","20","52744.03840000002","55797.558413661405","20"
"8","0","28","66795.8572","51161.821582955985","28"
"7","0","35","77037.5944","75212.53039206027","35"
"4","0","34","62187.991200000004","89771.97979801509","34"
"3","0","33","70976.77840000001","99387.33771788409","33"
"6","0","35","93373.36720000001","135569.57989873263","35"
"5","0","30","106679.80119999997","141108.53608903885","30"
"8","0","29","67991.91840000001","55999.4019009206","29"
"4","0","35","64425.20200000001","93465.8018225418","35"
"7","0","36","81730.65239999999","77291.2640147421","36"
"3","0","34","75834.45840000002","102934.38609446576","34"
"6","0","36","83461.86760000001","136694.865225215","36"
"1","0","21","57000.2044","58193.63467078453","21"
"5","0","31","112343.22440000004","146169.18915059263","31"
"8","0","30","63901.327600000004","51451.13365714001","30"
"7","0","37","76668.68000000002","81490.91373831997","37"
"4","0","36","69966.368","96409.68345752583","36"
"6","0","37","89338.0124","140712.77840827886","37"
"3","0","35","81077.64560000002","106416.90743065206","35"
"1","0","22","52416.26000000002","58588.97610286904","22"
"5","0","32","116171.46040000001","152482.86963465155","32"
"4","0","37","72447.38040000001","101157.68511800475","37"
"8","0","31","65162.00640000003","54600.9881554874","31"
"7","0","38","71953.88320000001","80708.27903875979","38"
"6","0","38","95640.09360000001","144623.1679658078","38"
"3","0","36","86320.83279999999","110086.33324503402","36"
"5","0","33","114282.4272","160299.6923011174","33"
"1","0","23","56672.426000000014","60888.303629698195","23"
"4","0","38","68947.54800000001","106250.8417975056","38"
