"BehaviorSpace results (NetLogo 6.2.0)"
"Flocking.nlogo"
"Baseline"
"05/02/2021 07:27:38:632 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"8","3","1.5","3","1","300","5","7","247","2.006666666666667","2.0105493482386567","104.65962489560029"
"6","3","1.5","3","1","300","5","7","247","2.046666666666667","1.984427508100001","100.90508244118077"
"2","3","1.5","3","1","300","5","7","260","2.26","1.8803154861785427","112.31214355168868"
"5","3","1.5","3","1","300","5","7","260","1.9266666666666667","2.049469441127501","102.78871559445132"
"7","3","1.5","3","1","300","5","8","250","1.9533333333333334","1.925731366242896","101.32429188591854"
"4","3","1.5","3","1","300","5","8","252","2.006666666666667","1.886071703146486","107.80854335766317"
"1","3","1.5","3","1","300","5","7","269","1.88","1.881508854768257","98.79116628098527"
"8","3","1.5","3","1","300","5","8","248","2.026666666666667","1.9737676269733537","104.72663187253984"
"3","3","1.5","3","1","300","5","7","247","1.86","1.989528516853594","105.62409374949995"
"2","3","1.5","3","1","300","5","8","259","2.3","1.9188791433767434","112.51252651172037"
"5","3","1.5","3","1","300","5","8","250","1.9666666666666666","1.9780605074043256","102.4306291533645"
"4","3","1.5","3","1","300","5","9","256","1.9666666666666666","1.8547423287281473","107.62095255584443"
"1","3","1.5","3","1","300","5","8","260","1.8866666666666667","1.913185456092932","99.0831699840129"
"3","3","1.5","3","1","300","5","8","245","1.9133333333333333","1.8964388475479792","105.45205154990566"
"6","3","1.5","3","1","300","5","8","250","2.14","2.0250787165515174","100.94809975723724"
"8","3","1.5","3","1","300","5","9","254","2.08","1.9254167162817393","104.8269593842834"
"7","3","1.5","3","1","300","5","9","254","1.9333333333333333","1.9380281770310626","101.16698489951465"
"2","3","1.5","3","1","300","5","9","255","2.2733333333333334","1.9210691916145481","113.18512850507302"
