"BehaviorSpace results (NetLogo 6.2.0)"
"Flocking.nlogo"
"Baseline2"
"05/02/2021 08:19:17:674 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"2","3","1.5","3","1","300","5","7","252","0.84","1.8696090562083703","100.9462161450935"
"6","3","1.5","3","1","300","5","7","257","0.8566666666666667","1.9323986403861249","97.75078827419847"
"4","3","1.5","3","1","300","5","12","255","0.85","1.8969897659260981","103.68907167124003"
"1","3","1.5","3","1","300","5","7","239","0.7966666666666666","2.0708551420495036","110.5000759797756"
"8","3","1.5","3","1","300","5","8","262","0.8733333333333333","1.9035744813993767","103.97422713067482"
"5","3","1.5","3","1","300","5","7","257","0.8566666666666667","1.8956538661941602","108.56138282100183"
"2","3","1.5","3","1","300","5","8","249","0.83","1.9325631486841202","100.38592496084263"
"3","3","1.5","3","1","300","5","8","252","0.84","1.9309538936551995","106.95039189224022"
"7","3","1.5","3","1","300","5","8","246","0.82","1.947045409506398","99.61029855486241"
"4","3","1.5","3","1","300","5","13","259","0.8633333333333333","1.8953494203568455","103.6365013338893"
"6","3","1.5","3","1","300","5","8","259","0.8633333333333333","1.961572790570276","97.10960556043355"
"1","3","1.5","3","1","300","5","8","240","0.8","2.0551936210373083","110.92035390009087"
"8","3","1.5","3","1","300","5","9","265","0.8833333333333333","1.8547213176563166","104.0894877155874"
"5","3","1.5","3","1","300","5","8","259","0.8633333333333333","1.9146056147876367","108.72090451155631"
"2","3","1.5","3","1","300","5","9","268","0.8933333333333333","1.8969992734451664","100.19388454371453"
"3","3","1.5","3","1","300","5","9","255","0.85","1.938265100466372","107.18914210326088"
"7","3","1.5","3","1","300","5","9","254","0.8466666666666667","1.910203484871621","99.80104487407367"
"4","3","1.5","3","1","300","5","14","251","0.8366666666666667","1.9300780719235415","103.66350056209802"
"6","3","1.5","3","1","300","5","9","254","0.8466666666666667","2.001406971663195","96.9088083226493"
"1","3","1.5","3","1","300","5","9","248","0.8266666666666667","2.02151123339171","111.05607843366379"
"8","3","1.5","3","1","300","5","10","269","0.8966666666666666","1.890152972330238","103.53106033829314"
"5","3","1.5","3","1","300","5","9","259","0.8633333333333333","1.877605130174679","108.56609227449779"
"2","3","1.5","3","1","300","5","10","264","0.88","1.8535132534946164","100.40207549832337"
"4","3","1.5","3","1","300","5","15","251","0.8366666666666667","1.841597447495465","103.68778473857958"
"3","3","1.5","3","1","300","5","10","250","0.8333333333333334","1.9522757568569795","107.27609910480211"
"7","3","1.5","3","1","300","5","10","256","0.8533333333333334","1.920546344680862","99.91715292921606"
"6","3","1.5","3","1","300","5","10","248","0.8266666666666667","2.039039435364712","96.9441128209251"
"1","3","1.5","3","1","300","5","10","252","0.84","1.9533459093154681","111.65796354738482"
"5","3","1.5","3","1","300","5","10","257","0.8566666666666667","1.9321656296296195","108.10710387139129"
"2","3","1.5","3","1","300","5","11","266","0.8866666666666667","1.8868178333645518","100.56483148830038"
"8","3","1.5","3","1","300","5","11","259","0.8633333333333333","1.965366526359576","103.68416510359957"
"4","3","1.5","3","1","300","5","16","251","0.8366666666666667","1.8457098737093707","103.55060152852104"
"3","3","1.5","3","1","300","5","11","251","0.8366666666666667","1.9416733693321941","107.01857483363456"
"7","3","1.5","3","1","300","5","11","259","0.8633333333333333","1.9600814699381606","100.25909092384448"
"6","3","1.5","3","1","300","5","11","245","0.8166666666666667","1.9958008438425967","97.20690292776038"
"1","3","1.5","3","1","300","5","11","261","0.87","1.895319561680844","111.87355055859416"
"2","3","1.5","3","1","300","5","12","266","0.8866666666666667","1.8940559612982475","100.56775322476979"
"5","3","1.5","3","1","300","5","11","263","0.8766666666666667","1.918378132430508","108.54858642153206"
"4","3","1.5","3","1","300","5","17","249","0.83","1.8519286655872846","103.76173583003192"
"8","3","1.5","3","1","300","5","12","251","0.8366666666666667","1.938302191713559","103.74333214827008"
"3","3","1.5","3","1","300","5","12","251","0.8366666666666667","1.94841921642882","107.5093180669781"
"7","3","1.5","3","1","300","5","12","262","0.8733333333333333","1.9114572930957756","100.88681152775483"
"6","3","1.5","3","1","300","5","12","251","0.8366666666666667","2.021176103863584","97.26780985715739"
"1","3","1.5","3","1","300","5","12","259","0.8633333333333333","1.8780475354178654","111.8355050077995"
"2","3","1.5","3","1","300","5","13","251","0.8366666666666667","1.8792724056669277","100.6785478912811"
"5","3","1.5","3","1","300","5","12","258","0.86","1.8711058144693982","108.73414008889897"
"4","3","1.5","3","1","300","5","18","260","0.8666666666666667","1.8047959653395735","103.84706164276318"
"8","3","1.5","3","1","300","5","13","251","0.8366666666666667","1.8927734544116488","103.57792019461083"
"3","3","1.5","3","1","300","5","13","255","0.85","1.9864232241617057","107.46601333854602"
"7","3","1.5","3","1","300","5","13","254","0.8466666666666667","1.8822137647542192","101.48787919612602"
"6","3","1.5","3","1","300","5","13","252","0.84","1.9971241073245278","96.81911414282384"
"2","3","1.5","3","1","300","5","14","260","0.8666666666666667","1.7882442444879396","100.62613051752774"
"1","3","1.5","3","1","300","5","13","248","0.8266666666666667","1.9158766483880336","111.90527770290312"
"5","3","1.5","3","1","300","5","13","265","0.8833333333333333","1.8203836060575311","109.76918992250734"
"4","3","1.5","3","1","300","5","19","258","0.86","1.7992593990832662","104.0397866922669"
"8","3","1.5","3","1","300","5","14","260","0.8666666666666667","1.8440809859981089","103.50983510566753"
"7","3","1.5","3","1","300","5","14","254","0.8466666666666667","1.8768904354787548","102.1251512426275"
"3","3","1.5","3","1","300","5","14","245","0.8166666666666667","1.8980034693104904","107.43004085203275"
"6","3","1.5","3","1","300","5","14","253","0.8433333333333334","1.891336172151086","96.49501608641219"
"2","3","1.5","3","1","300","5","15","262","0.8733333333333333","1.8513787493626797","100.8840504832571"
"1","3","1.5","3","1","300","5","14","255","0.85","1.8359832292765634","111.47317294470436"
"4","3","1.5","3","1","300","5","20","266","0.8866666666666667","1.8169728108239236","103.8742162000077"
"5","3","1.5","3","1","300","5","14","267","0.89","1.7377811213290286","109.89296694944863"
"8","3","1.5","3","1","300","5","15","260","0.8666666666666667","1.8682476272290145","103.53870926842711"
"7","3","1.5","3","1","300","5","15","250","0.8333333333333334","1.8877902808059113","101.90462435824486"
"3","3","1.5","3","1","300","5","15","251","0.8366666666666667","1.9028683958705324","107.84596469854851"
"6","3","1.5","3","1","300","5","15","254","0.8466666666666667","1.851689411343469","95.75829741336199"
"2","3","1.5","3","1","300","5","16","261","0.87","1.8864278000413284","101.18278718544153"
"1","3","1.5","3","1","300","5","15","261","0.87","1.8018437640885152","111.38438064452127"
"4","3","1.5","3","1","300","5","21","262","0.8733333333333333","1.7753742185678145","103.74218031762938"
"5","3","1.5","3","1","300","5","15","267","0.89","1.6852552310954427","109.87508375995529"
"8","3","1.5","3","1","300","5","16","258","0.86","1.858472861020966","103.49061402636964"
"7","3","1.5","3","1","300","5","16","257","0.8566666666666667","1.9163430033046287","101.73089075220203"
"3","3","1.5","3","1","300","5","16","254","0.8466666666666667","1.9478873411482778","108.02075269040392"
"6","3","1.5","3","1","300","5","16","255","0.85","1.8356034313212002","95.62895105732387"
"2","3","1.5","3","1","300","5","17","256","0.8533333333333334","1.9196200844910056","100.61357337585028"
"5","3","1.5","3","1","300","5","16","272","0.9066666666666666","1.76406164631602","109.464468469219"
"1","3","1.5","3","1","300","5","16","265","0.8833333333333333","1.7599227425575266","111.57059346494539"
"4","3","1.5","3","1","300","5","22","262","0.8733333333333333","1.7640105219121351","103.67800696914948"
"8","3","1.5","3","1","300","5","17","257","0.8566666666666667","1.8217658396491014","103.435582897342"
"7","3","1.5","3","1","300","5","17","250","0.8333333333333334","1.9026183197828943","101.20477131096948"
"3","3","1.5","3","1","300","5","17","255","0.85","1.9358830510578264","108.45452818385444"
"6","3","1.5","3","1","300","5","17","268","0.8933333333333333","1.8734768144252723","95.78611018128389"
"5","3","1.5","3","1","300","5","17","269","0.8966666666666666","1.7935621570131173","108.91443223200159"
"2","3","1.5","3","1","300","5","18","261","0.87","1.8282613334207258","100.51846589375782"
"1","3","1.5","3","1","300","5","17","267","0.89","1.7421660717131882","111.84698723598243"
"4","3","1.5","3","1","300","5","23","251","0.8366666666666667","1.7305900594728068","103.76571923512606"
"8","3","1.5","3","1","300","5","18","252","0.84","1.7763699667567447","103.40203820306944"
"7","3","1.5","3","1","300","5","18","245","0.8166666666666667","1.9019049714664553","100.9009458553699"
"6","3","1.5","3","1","300","5","18","266","0.8866666666666667","1.864458152815063","95.2627126854194"
"3","3","1.5","3","1","300","5","18","253","0.8433333333333334","1.9314848162579086","108.80396527727486"
"2","3","1.5","3","1","300","5","19","263","0.8766666666666667","1.7928157509976494","100.36171540736504"
"5","3","1.5","3","1","300","5","18","267","0.89","1.876609577365396","109.62163463811432"
"4","3","1.5","3","1","300","5","24","258","0.86","1.7311198992395707","103.5242740013957"
"1","3","1.5","3","1","300","5","18","264","0.88","1.7819518569866084","112.23763033944356"
"7","3","1.5","3","1","300","5","19","253","0.8433333333333334","1.8437104296560676","100.63125376415114"
"8","3","1.5","3","1","300","5","19","266","0.8866666666666667","1.7684333615837533","103.46003973866851"
"6","3","1.5","3","1","300","5","19","261","0.87","1.8739020809349294","95.34695717997839"
"2","3","1.5","3","1","300","5","20","267","0.89","1.7963942947518323","100.29579125621677"
"3","3","1.5","3","1","300","5","19","256","0.8533333333333334","1.9248111344264263","108.89255422264358"
"1","3","1.5","3","1","300","5","19","265","0.8833333333333333","1.8315100592495825","112.40708875073861"
"7","3","1.5","3","1","300","5","20","258","0.86","1.828196875285477","100.26466682658656"
"8","3","1.5","3","1","300","5","20","267","0.89","1.7849140367288987","103.49687396415646"
"4","3","1.5","3","1","300","5","25","262","0.8733333333333333","1.757296156442543","103.55217489252125"
"5","3","1.5","3","1","300","5","19","261","0.87","1.8400863737591469","109.23831457508147"
"6","3","1.5","3","1","300","5","20","263","0.8766666666666667","1.86777903720118","95.34656074556639"
"2","3","1.5","3","1","300","5","21","265","0.8833333333333333","1.797437777839156","100.26794038263023"
"3","3","1.5","3","1","300","5","20","257","0.8566666666666667","1.8949436316396058","109.28070139799384"
"1","3","1.5","3","1","300","5","20","265","0.8833333333333333","1.7940945546595575","112.59235774313794"
"7","3","1.5","3","1","300","5","21","256","0.8533333333333334","1.7910377328723541","100.69165184043047"
"8","3","1.5","3","1","300","5","21","267","0.89","1.7398238166940996","103.34067393842697"
"4","3","1.5","3","1","300","5","26","264","0.88","1.7229358523195393","103.50545323162332"
"5","3","1.5","3","1","300","5","20","265","0.8833333333333333","1.7910150024826437","108.91829972635766"
"3","3","1.5","3","1","300","5","21","255","0.85","1.7848030187549135","109.39540546136286"
"2","3","1.5","3","1","300","5","22","268","0.8933333333333333","1.7823087300377354","100.00695199068913"
"6","3","1.5","3","1","300","5","21","256","0.8533333333333334","1.8786036205701304","95.23173952832606"
"1","3","1.5","3","1","300","5","21","257","0.8566666666666667","1.743487781681367","112.76293377734092"
"7","3","1.5","3","1","300","5","22","262","0.8733333333333333","1.722324008355209","100.5707048459979"
"8","3","1.5","3","1","300","5","22","269","0.8966666666666666","1.7061591659584996","103.55805472590144"
"4","3","1.5","3","1","300","5","27","261","0.87","1.6611855169824359","103.57955973271564"
"5","3","1.5","3","1","300","5","21","264","0.88","1.7401455840749687","108.84608280596433"
"3","3","1.5","3","1","300","5","22","262","0.8733333333333333","1.7508875101253347","109.3216672412816"
"2","3","1.5","3","1","300","5","23","275","0.9166666666666666","1.7813350930515934","100.05276566696296"
"6","3","1.5","3","1","300","5","22","254","0.8466666666666667","1.8946053903855822","94.56782095377713"
